"","cluster","hhnum_percluster","hhid","year","int_year","int_month","passage","season","admin1","admin2","hhsize","pcexp","pcexp_food","pcexp_nonfood","latitude","longitude","zae"
"126",10,6,10060,2011,2011,11,2,2,1,NA,8,58604.953125,63604.51953125,2588.70776367188,15.5215096057,7.03498515587,4
"127",10,6,10060,2014,2015,2,2,3,1,NA,7,185781.09375,175852.296875,33984.05859375,15.5215096057,7.03498515587,4
"128",10,6,10060,2014,2014,10,1,2,1,NA,7,278580.4375,310219.4375,4432.1025390625,15.5215096057,7.03498515587,4
"129",10,7,10070,2011,2011,8,1,1,1,NA,8,104788.390625,112782.7890625,5573.79052734375,15.5215096057,7.03498515587,4
"130",10,7,10070,2011,2011,11,2,2,1,NA,8,96206.1328125,104917.09375,3745.97998046875,15.5215096057,7.03498515587,4
"131",10,7,10070,2014,2015,2,2,3,1,NA,8,134373.265625,148364.9375,3407.22216796875,15.5215096057,7.03498515587,4
"132",10,7,10070,2014,2014,10,1,2,1,NA,8,155477.640625,173815.015625,1794.14440917969,15.5215096057,7.03498515587,4
"133",10,8,10080,2011,2011,8,1,1,1,NA,9,100931.34375,112062.9609375,1937.15087890625,15.5215096057,7.03498515587,4
"134",10,8,10080,2011,2011,11,2,2,1,NA,9,47189.84765625,51093.703125,2206.369140625,15.5215096057,7.03498515587,4
"135",10,8,10080,2014,2014,10,1,2,1,NA,10,121334.8046875,116798.0234375,20247.423828125,15.5215096057,7.03498515587,4
"136",10,8,10080,2014,2015,2,2,3,1,NA,10,96371.09375,103936.2890625,4913.10888671875,15.5215096057,7.03498515587,4
"137",10,9,10090,2011,2011,11,2,2,1,NA,8,84660.9609375,92148.4453125,3474.572265625,15.5215096057,7.03498515587,4
"138",10,9,10090,2011,2011,8,1,1,1,NA,8,116718.7421875,129567.6875,2264.005859375,15.5215096057,7.03498515587,4
"139",10,9,10090,2014,2014,10,1,2,1,NA,8,59787.125,60950.421875,6578.0439453125,15.5215096057,7.03498515587,4
"140",10,9,10090,2014,2015,2,2,3,1,NA,8,118879.7578125,118747.5625,15524.9560546875,15.5215096057,7.03498515587,4
"141",10,10,10100,2011,2011,8,1,1,1,NA,10,61948.5703125,68023.0390625,1946.74243164062,15.5215096057,7.03498515587,4
"142",10,10,10100,2011,2011,11,2,2,1,NA,10,54488.27734375,58029.44921875,3514.06616210938,15.5215096057,7.03498515587,4
"143",10,10,10100,2014,2015,2,2,3,1,NA,11,82408.1171875,91062.6171875,2015.85095214844,15.5215096057,7.03498515587,4
"144",10,10,10100,2014,2014,10,1,2,1,NA,11,150361.109375,165713,4117.1416015625,15.5215096057,7.03498515587,4
"145",10,11,10110,2011,2011,8,1,1,1,NA,8,115197.765625,125334.65625,4779.11962890625,15.5215096057,7.03498515587,4
"146",10,11,10110,2011,2011,11,2,2,1,NA,8,118184.859375,129895.96875,3591.67700195312,15.5215096057,7.03498515587,4
"147",10,11,10110,2014,2014,10,1,2,1,NA,9,68827.84375,75597.4296875,2142.35864257812,15.5215096057,7.03498515587,4
"148",10,11,10110,2014,2015,2,2,3,1,NA,9,116783.046875,124728.859375,7175.4638671875,15.5215096057,7.03498515587,4
"149",10,12,10120,2011,2011,11,2,2,1,NA,5,94431.3359375,103921.4296875,2737.04077148438,15.5215096057,7.03498515587,4
