"adm_03","rowcacode3","year","AnnualPrecip"
"Tabelot","NER001006003",2017,57.6687416598705
"Tabelot","NER001006003",2018,80.1382181189239
"Tabelot","NER001006003",2019,75.4147577433314
"Tabelot","NER001006003",2020,86.7936528332462
"Tabelot","NER001006003",2021,51.3812111601188
"Dabaga","NER001006002",1981,140.544348005933
"Dabaga","NER001006002",1982,122.174876705625
"Dabaga","NER001006002",1983,78.6059254389428
"Dabaga","NER001006002",1984,34.1536403765217
"Dabaga","NER001006002",1985,83.3078990831063
"Dabaga","NER001006002",1986,128.900472498725
"Dabaga","NER001006002",1987,75.4050679106375
"Dabaga","NER001006002",1988,172.028770127581
"Dabaga","NER001006002",1989,162.955896347288
"Dabaga","NER001006002",1990,76.8193696913211
"Dabaga","NER001006002",1991,133.560995515404
"Dabaga","NER001006002",1992,114.279580948395
"Dabaga","NER001006002",1993,75.5337838651464
"Dabaga","NER001006002",1994,195.202920560386
"Dabaga","NER001006002",1995,62.6258678771625
"Dabaga","NER001006002",1996,64.2673597849261
"Dabaga","NER001006002",1997,178.739792759406
"Dabaga","NER001006002",1998,192.958072613761
"Dabaga","NER001006002",1999,219.813948537945
"Dabaga","NER001006002",2000,95.7426889976051
"Dabaga","NER001006002",2001,105.845361285985
"Dabaga","NER001006002",2002,147.480929878495
"Dabaga","NER001006002",2003,167.048599396577
"Dabaga","NER001006002",2004,96.7884532057407
"Dabaga","NER001006002",2005,93.769255333381
"Dabaga","NER001006002",2006,100.045158542917
"Dabaga","NER001006002",2007,100.355012746625
"Dabaga","NER001006002",2008,98.9433145857669
"Dabaga","NER001006002",2009,104.306522004217
"Dabaga","NER001006002",2010,151.864691466044
"Dabaga","NER001006002",2011,98.5630150656075
"Dabaga","NER001006002",2012,149.390567159358
"Dabaga","NER001006002",2013,81.1722601662905
"Dabaga","NER001006002",2014,70.5192141042182
"Dabaga","NER001006002",2015,141.471306531173
"Dabaga","NER001006002",2016,84.9584022445582
"Dabaga","NER001006002",2017,83.3763942894943
"Dabaga","NER001006002",2018,145.081915929813
"Dabaga","NER001006002",2019,144.406045294349
"Dabaga","NER001006002",2020,137.027533877394
"Dabaga","NER001006002",2021,105.735832599428
"Tchirozerine","NER001006004",1981,152.31015350436
"Tchirozerine","NER001006004",1982,146.012543550181
"Tchirozerine","NER001006004",1983,96.6211945131281
"Tchirozerine","NER001006004",1984,47.8482204825238
"Tchirozerine","NER001006004",1985,103.046572180513
"Tchirozerine","NER001006004",1986,157.227782213595
"Tchirozerine","NER001006004",1987,94.4029793725207
"Tchirozerine","NER001006004",1988,207.99640577266
"Tchirozerine","NER001006004",1989,168.474686323923
"Tchirozerine","NER001006004",1990,87.9779577879396
"Tchirozerine","NER001006004",1991,146.195980451136
"Tchirozerine","NER001006004",1992,134.054069808547
"Tchirozerine","NER001006004",1993,102.489785572095
"Tchirozerine","NER001006004",1994,236.380882747011
"Tchirozerine","NER001006004",1995,69.8589838249239
"Tchirozerine","NER001006004",1996,87.4259014124907
"Tchirozerine","NER001006004",1997,183.780230856713
"Tchirozerine","NER001006004",1998,224.941216612507
"Tchirozerine","NER001006004",1999,232.019234713059
"Tchirozerine","NER001006004",2000,100.852845151629
"Tchirozerine","NER001006004",2001,122.954955105176
"Tchirozerine","NER001006004",2002,166.312662932431
"Tchirozerine","NER001006004",2003,202.128387080739
"Tchirozerine","NER001006004",2004,101.361610204581
"Tchirozerine","NER001006004",2005,116.724918737955
"Tchirozerine","NER001006004",2006,111.944068324543
"Tchirozerine","NER001006004",2007,122.896591028916
"Tchirozerine","NER001006004",2008,117.352178769178
"Tchirozerine","NER001006004",2009,115.936585351897
"Tchirozerine","NER001006004",2010,166.166711652946
"Tchirozerine","NER001006004",2011,113.621873554032
"Tchirozerine","NER001006004",2012,165.403074896133
"Tchirozerine","NER001006004",2013,116.63769667377
"Tchirozerine","NER001006004",2014,93.356792935924
"Tchirozerine","NER001006004",2015,169.643367158661
"Tchirozerine","NER001006004",2016,113.287846756851
"Tchirozerine","NER001006004",2017,97.4639061783524
"Tchirozerine","NER001006004",2018,187.034162396715
"Tchirozerine","NER001006004",2019,156.949321881663
"Tchirozerine","NER001006004",2020,156.228270763386
"Tchirozerine","NER001006004",2021,121.01545239101
"Agadez","NER001006001",1981,219.890520061471
"Agadez","NER001006001",1982,236.903719950373
"Agadez","NER001006001",1983,157.917036948827
"Agadez","NER001006001",1984,79.8521648829092
"Agadez","NER001006001",1985,161.881799885089
"Agadez","NER001006001",1986,237.289157053341
"Agadez","NER001006001",1987,147.373641595556
"Agadez","NER001006001",1988,314.667077246119
"Agadez","NER001006001",1989,221.040890164267
"Agadez","NER001006001",1990,127.376796748936
"Agadez","NER001006001",1991,220.677584719888
"Agadez","NER001006001",1992,205.209731739759
"Agadez","NER001006001",1993,170.999642257135
"Agadez","NER001006001",1994,354.335383508815
"Agadez","NER001006001",1995,115.368219491203
"Agadez","NER001006001",1996,156.831708499288
"Agadez","NER001006001",1997,255.411065913466
"Agadez","NER001006001",1998,326.475255419314
"Agadez","NER001006001",1999,356.897541210001
"Agadez","NER001006001",2000,137.748272971524
